"지진ID","지진번호","구분","구분명","전송시각","진원시","위도 (단위:`N)","경도 (단위:`E)","규모 (리히터 기준)","진앙지","진앙지2","참고사항","수정사항","표출여부","확인시간","이벤트 파형 파일명","등록일자","지진번호(기상청)","발표차수(기상청)","내륙해역구분","남북한구분","진도분류","시도별 진도등급","행정구역별 진도등급 URL","격자별 진도등급 URL","진도 MAP 이미지 URL","진앙지도 이미지URL","행정구역별 진도등급 XML 파일명","격자별 진도등급 XML 파일명","진도 MAP 이미지명","진앙지도 이미지명","깊이 (단위:KM)"
"202400001038","","1","지진정보","202409240707","20240924070528","35.22","128.63","2.2","경남 창원시 의창구 남남서쪽 4km 지역","","지진 발생 인근 지역은 지진동을 느낄 수 있음. 안전에 유의하기 바람.","","Y","","","2024-09-24 07:08:06.0","2024006677","","","","","","","","","","","","","","12"
"202400001036","","3","국외지진","202409240510","20240924045103","-0.1","122.89","6","인도네시아 고론탈로 남남서쪽 73km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-09-24 05:12:07.0","2024006674","","","","","","","","","","","","","","149"
"202400001031","","1","지진정보","202409222026","20240922202338","35.59","129.5","2.2","울산 동구 북동쪽 12km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-09-22 20:27:06.0","2024006636","","","","","","","","","","","","","","10"
"202400001026","","3","국외지진","202409220650","20240922062427","-31.92","-66.79","6","아르헨티나 산루이스 북북서쪽 159km 지역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-09-22 06:51:06.0","2024006629","","","","","","","","","","","","","","130"
"202400001021","","1","지진정보","202409192213","20240919213917","40.19","126.88","2.2","북한 평안남도 대흥 북북서쪽 12km 지역","","자연지진으로 분석됨","","Y","","","2024-09-19 22:14:06.0","2024006605","","","","","","","","","","","","","","5"
"202400001020","","1","지진정보","202409191951","20240919194118","40.54","126.75","3.9","북한 자강도 용림 동북동쪽 7km 지역","","자연지진으로 분석됨","","Y","","","2024-09-19 19:52:06.0","2024006602","","","","","","","","","","","","","",""
"202400001017","","1","지진정보","202409181253","20240918124753","35.68","124.46","2.7","충남 태안군 서격렬비도 남서쪽 142km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-09-18 12:54:06.0","2024006578","","","","","","","","","","","","","",""
"202400001003","","1","지진정보","202409132202","20240913215804","35.47","124.54","2.3","전남 신안군 흑산도 북서쪽 120km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-09-13 22:03:06.0","2024006534","","","","","","","","","","","","","","11"
"202400001000","","1","지진정보","202409122350","20240912234719","35.46","128.43","2.6","경남 창녕군 남남서쪽 11km 지역","","지진 발생 인근 지역은 지진동을 느낄 수 있음. 안전에 유의하기 바람.","","Y","","","2024-09-12 23:51:06.0","2024006509","","","","","","","","","","","","","","16"
"202400000998","","1","지진정보","202409121951","20240912191946","39.9","126.56","2.9","북한 평안남도 덕천 북동쪽 27km 지역","","자연지진으로 분석됨","","Y","","","2024-09-12 19:52:06.0","2024006508","","","","","","","","","","","","","","17"
"202400000997","","1","지진정보","202409121929","20240912192510","36.41","128.76","2.7","경북 의성군 북동쪽 8km 지역","","지진 발생 인근 지역은 지진동을 느낄 수 있음. 안전에 유의하기 바람.","","Y","","","2024-09-12 19:30:06.0","2024006506","","","","","","","","","","","","","","14"
"202400000994","","3","국외지진","202409120211","20240912014604","-3.27","146.36","6.3","파푸아뉴기니 마당 북북동쪽 226km 해역 ","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-09-12 02:12:06.0","2024006491","","","","","","","","","","","","","","10"
"202400000991","","1","지진정보","202409110227","20240911022434","37.11","125.45","2.7","충남 태안군 서격렬비도 북쪽 56km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-09-11 02:29:06.0","2024006466","","","","","","","","","","","","","","11"
"202400000971","","3","국외지진","202409051030","20240905100316","-3.49","144.25","6.2","파푸아뉴기니 마당 북서쪽 258km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-09-05 10:31:06.0","2024006303","","","","","","","","","","","","","","10"
"202400000962","","3","국외지진","202409020535","20240902051335","-6.83","155.5","6.4","파푸아뉴기니 부건빌 아라와 남쪽 67km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-09-02 05:36:06.0","2024006232","","","","","","","","","","","","","","50"
"202400000959","","1","지진정보","202409011349","20240901134621","37.86","129.52","2.4","강원 동해시 북동쪽 52km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-09-01 13:51:06.0","2024006230","","","","","","","","","","","","","","27"
"202400000952","","3","국외지진","202408301350","20240830132423","52.97","160.37","6","러시아 캄차카반도 페트로파블롭스크-캄차츠키 동쪽 115km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-08-30 13:52:06.0","2024006098","","","","","","","","","","","","","","28"
"202400000950","","1","지진정보","202408292026","20240829202355","35.66","129.75","2.4","울산 동구 동북동쪽 35km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-08-29 20:28:06.0","2024006072","","","","","","","","","","","","","","19"
"202400000944","","3","국외지진","202408290729","20240829065756","13","-89.56","6.1","엘살바도르 산타테클라 남남서쪽 81km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-08-29 07:31:06.0","2024006048","","","","","","","","","","","","","","34"
"202400000940","","1","지진정보","202408272306","20240827230224","37.87","129.54","2.2","강원 동해시 북동쪽 54km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-08-27 23:28:06.0","2024005953","","","","","","","","","","","","","","21"
"202400000935","","1","지진정보","202408270051","20240827001521","41.28","129.09","2.7","북한 함경북도 길주 북북서쪽 41km 지역","","자연지진으로 분석됨","","Y","","","2024-08-27 23:28:06.0","2024005923","","","","","","","","","","","","","","12"
"202400000930","","1","지진정보","202408252334","20240825232810","37.9","129.6","3","강원 동해시 북동쪽 60km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-08-25 23:36:06.0","2024005875","","","","","","","","","","","","","",""
"202400000919","","1","지진정보","202408230145","20240823014216","36.96","126.31","2.1","충남 서산시 북북서쪽 23km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-08-23 01:46:06.0","2024005830","","","","","","","","","","","","","","9"
"202400000905","","3","국외지진","202408190058","20240819005000","36.7","140.6","5.1","일본 이바라키현 미토시 북북동쪽 39km 지역","","국내영향없음. 위 자료는 일본기상청(JMA) 분석결과임.","","Y","","","2024-08-20 15:30:06.0","2024005553","","","","","","","","","","","","","",""
"202400000845","","1","지진정보","202408011301","20240801125008","38.77","125.89","2.6","북한 황해북도 송림 동쪽 22km 지역","","자연지진으로 분석됨 지진피해 없을 것으로 예상됨","","Y","","","2024-08-01 13:08:06.0","2024004985","","","","","","","","","","","","","","9"
"202400000841","","1","지진정보","202408010858","20240801083412","38.76","125.89","3","북한 황해북도 송림 동쪽 22km 지역","","자연지진으로 분석됨 지진피해 없을 것으로 예상됨","","Y","","","2024-08-01 08:59:06.0","2024004974","","","","","","","","","","","","","","9"
"202400000832","","1","지진정보","202407292224","20240729215642","38.78","125.89","2.3","북한 황해북도 송림 동북동쪽 23km 지역","","자연지진으로 분석됨 지진피해 없을 것으로 예상됨","","Y","","","2024-07-29 22:26:06.0","2024004919","","","","","","","","","","","","","","14"
"202400000822","","1","지진정보","202407271333","20240727125057","41.3","129.13","2.9","북한 함경북도 길주 북북서쪽 42km 지역","","자연지진으로 분석됨","","Y","","","2024-07-27 13:35:06.0","2024004889","","","","","","","","","","","","","","17"
"202400000820","","1","지진정보","202407262258","20240726225237","35.56","125.14","2.6","전북 군산시 어청도 남서쪽 98km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-07-26 22:59:06.0","2024004875","","","","","","","","","","","","","",""
"202400000816","","3","국외지진","202407261133","20240726112400","24.14","121.68","5.1","대만 화롄현 북북동쪽 20km 해역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-07-26 11:35:06.0","2024004855","","","","","","","","","","","","","","40"
"202400000799","","3","국외지진","202407221424","20240722140413","-15.51","168.09","6","바누아투 포트빌라 북쪽 249km 해역 ","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-07-22 14:26:06.0","2024004753","","","","","","","","","","","","","","10"
"202400000795","","3","국외지진","202407211217","20240721115348","14.56","-89.97","6.2","과테말라 과테말라시티 동쪽 59km 지역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-07-21 12:19:06.0","2024004728","","","","","","","","","","","","","","261"
"202400000788","","3","국외지진","202407191105","20240719105046","-23.12","-67.87","7.3","칠레 카라마 남동쪽 131km 지역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-07-19 11:07:06.0","2024004680","","","","","","","","","","","","","","126"
"202400000757","","3","국외지진","202407111135","20240711111317","6.07","123.16","7.1","필리핀 잠보앙가 남동쪽 152km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-07-11 11:37:06.0","2024004477","","","","","","","","","","","","","","620"
"202400000752","","3","국외지진","202407101417","20240710135543","-53.31","25.31","6.7","남아프리카공화국 포트엘리자베스 남쪽 2156km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-07-10 14:19:06.0","2024004466","","","","","","","","","","","","","","10"
"202400000744","","3","국외지진","202407080512","20240708050200","27.1","139","6.3","일본 시즈오카현 하마마쓰시 남쪽 855km 해역","","국내영향없음. 위 자료는 일본기상청(JMA) 분석결과임.","","Y","","","2024-07-08 05:13:06.0","2024004412","","","","","","","","","","","","","","530"
"202400000736","","1","지진정보","202407060222","20240706021915","36.51","128.85","2.4","경북 안동시 동남동쪽 13km 지역","","지진 발생 인근 지역은 지진동을 느낄 수 있음. 안전에 유의하기 바람.","","Y","","","2024-07-06 02:23:06.0","2024004377","","","","","","","","","","","","","","16"
"202400000728","","3","국외지진","202407041219","20240704121200","35.2","140.5","5.4","일본 지바현 지바시 남동쪽 58km 해역","","국내영향없음. 위 자료는 일본기상청(JMA) 분석결과임.","","Y","","","2024-07-04 12:21:06.0","2024004338","","","","","","","","","","","","","","50"
"202400000723","","1","지진정보","202407031428","20240703142443","35.7","126.72","2.3","전북 부안군 남남서쪽 4km 지역","","지진피해 없을 것으로 예상됨","","Y","","","2024-07-03 14:29:06.0","2024004310","","","","","","","","","","","","","","8"
"202400000708","","3","국외지진","202406291626","20240629160533","-16.12","-74.58","6.1","페루 이카 남남동쪽 259km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-06-29 16:28:07.0","2024004233","","","","","","","","","","","","","","19"
"202400000707","","3","국외지진","202406291551","20240629153902","25.45","122.52","5.4","대만 지룽시 동북동쪽 87km 해역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-06-29 15:53:06.0","2024004231","","","","","","","","","","","","","","266"
"202400000704","","3","국외지진","202406281455","20240628143637","-15.81","-74.45","7.2","페루 이카 남동쪽 237km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-06-28 14:56:06.0","2024004195","","","","","","","","","","","","","","28"
"202400000697","","1","지진정보","202406270345","20240627030440","39.56","127.04","2.1","북한 함경남도 금야 서쪽 17km 지역","","자연지진으로 분석됨 지진피해 없을 것으로 예상됨","","Y","","","2024-06-27 03:46:06.0","2024004126","","","","","","","","","","","","","","6"
"202400000689","","3","국외지진","202406241725","20240624170338","-14.61","167.25","6.3","바누아투 포트올리 북북동쪽 51km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-06-24 17:27:06.0","2024004033","","","","","","","","","","","","","","157"
"202400000683","","3","국외지진","202406231320","20240623125800","10.75","-62.63","6","베네수엘라 카루파노 동쪽 69km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-06-23 13:22:06.0","2024003988","","","","","","","","","","","","","","87"
"202400000679","","1","지진정보","202406221352","20240622134900","32.97","126.28","2","제주 서귀포시 남서쪽 41km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-06-22 13:53:06.0","2024003977","","","","","","","","","","","","","","16"
"202400000658","","3","국외지진","202406170008","20240616234731","-15.92","-74.54","6","페루 이카 남남동쪽 242km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-06-17 00:10:06.0","2024003725","","","","","","","","","","","","","","20"
"202400000656","","3","국외지진","202406161017","20240616092756","-61","154.26","6","뉴질랜드 더니든 남남서쪽 1984km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-06-16 10:19:06.0","2024003719","","","","","","","","","","","","","","7"
"202400000644","","1","지진정보","202406121359","20240612135542","35.7","126.73","3.1","전북 부안군 남쪽 4km 지역","","지진 발생 인근 지역은 지진동을 느낄 수 있음. 안전에 유의하기 바람.","","Y","","","2024-06-12 14:00:06.0","2024003605","","","","","","","","","","","","","","8"
"202400000639","","1","지진정보","202406120832","20240612082649","35.7","126.72","4.8","전북 부안군 남남서쪽 4km 지역","","위의 정보는 2024년 6월 12일 08시 27분에 발표한 지진속보를 수동으로 분석한 상세정보임. 향후, 여진 등에 대한 정보를 참고하시기 바람. 지진 발생 인근 지역은 일부 피해가 발생할 수 있으니 안전에 주의하기 바람.","","Y","","","2024-06-12 08:33:06.0","2024003566","","","","","","","","","","","","","","8"
"202400000638","","5","지진속보","202406120827","20240612082649","35.7","126.71","4.7","전북 부안군 남남서쪽 4km 지역","","위 정보는 이동속도가 빠른 지진파(P파)만을 이용하여 자동 추정한 정보임. 수동으로 분석한 정보는 지진정보로 추가 발표할 예정임","","Y","","","2024-06-12 08:27:06.0","2024003566","","","","","","","","","","","","","",""
"202400000627","","1","지진정보","202406091520","20240609151614","33.4","125.1","2.1","제주 제주시 서쪽 133km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-06-09 15:21:06.0","2024003495","","","","","","","","","","","","","","7"
"202400000623","","1","지진정보","202406082332","20240608230437","38.87","129.18","2.2","북한 강원 회양 동쪽 138km 해역","","자연지진으로 분석됨 지진피해 없을 것으로 예상됨","","Y","","","2024-06-08 23:33:06.0","2024003486","","","","","","","","","","","","","","15"
"202400000605","","3","국외지진","202406030638","20240603063100","37.5","137.3","5.9","일본 도야마현 도야마시 북쪽 90km 해역","","국내영향없음. 위 자료는 일본기상청(JMA) 분석결과임.","","Y","","","2024-06-03 06:41:06.0","2024003286","","","","","","","","","","","","","","10"
"202400000604","","1","지진정보","202406030229","20240603022511","38.24","128.69","2.5","강원 속초시 동북동쪽 9km 해역","","지진 발생 인근 지역은 지진동을 느낄 수 있음. 안전에 유의하기 바람.","","Y","","","2024-06-03 02:30:06.0","2024003281","","","","","","","","","","","","","","14"
"202400000595","","3","국외지진","202406010113","20240601004609","-43.27","41.67","6.3","남아프리카공화국 이스트런던 남동쪽 1648km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-06-01 01:15:06.0","2024003239","","","","","","","","","","","","","","10"
"202400000594","","1","지진정보","202406010057","20240601005341","36.24","128.2","2.4","경북 김천시 북동쪽 14km 지역","","지진피해 없을 것으로 예상됨","","Y","","","2024-06-01 00:58:07.0","2024003237","","","","","","","","","","","","","","11"
"202400000590","","1","지진정보","202405310338","20240531033502","38.13","127.09","2.8","경기 연천군 북북동쪽 4km 지역","","지진 발생 인근 지역은 지진동을 느낄 수 있음. 안전에 유의하기 바람.","","Y","","","2024-05-31 03:40:06.0","2024003193","","","","","","","","","","","","","","9"
"202400000571","","3","국외지진","202405260747","20240526072316","-17.11","167.88","6.3","바누아투 포트빌라 북북서쪽 83km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-05-26 07:49:06.0","2024003048","","","","","","","","","","","","","","29"
"202400000561","","1","지진정보","202405221308","20240522122919","41.27","129.06","2.3","북한 함경북도 길주 북북서쪽 42km 지역","","자연지진으로 분석됨","","Y","","","2024-05-22 13:09:06.0","2024002938","","","","","","","","","","","","","","16"
"202400000558","","3","국외지진","202405210947","20240521093900","26.2","141.5","6","일본 시즈오카현 하마마쓰시 남남동쪽 1013km 해역","","국내영향없음. 위 자료는 일본기상청(JMA) 분석결과임.","","Y","","","2024-05-21 09:49:06.0","2024002881","","","","","","","","","","","","","","50"
"202400000555","","1","지진정보","202405201035","20240520103145","35.63","129.83","2.6","울산 동구 동북동쪽 40km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-05-20 23:28:06.0","2024002846","","","","","","","","","","","","","","22"
"202400000525","","3","국외지진","202405122109","20240512203914","14.45","-92.36","6.4","멕시코 치아파스 타파출라 남남서쪽 52km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-05-12 21:12:06.0","2024002639","","","","","","","","","","","","","","75"
"202400000508","","1","지진정보","202405090627","20240509054125","41.32","129.18","2.2","북한 함경북도 길주 북북서쪽 42km 지역","","자연지진으로 분석됨","","Y","","","2024-05-09 06:29:06.0","2024002560","","","","","","","","","","","","","","11"
"202400000505","","3","국외지진","202405081739","20240508171715","-15.14","168","6.1","바누아투 루간빌 동북동쪽 99km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-05-08 17:41:06.0","2024002553","","","","","","","","","","","","","","13"
"202400000503","","1","지진정보","202405080111","20240508005000","38.8","126.17","2.2","북한 황해북도 연산 남서쪽 11km 지역","","자연지진으로 분석됨","","Y","","","2024-05-08 01:13:06.0","2024002531","","","","","","","","","","","","","","11"
"202400000495","","3","국외지진","202405060352","20240506033310","-3.31","130.98","6.2","인도네시아 소롱 남쪽 273km 해역","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-05-06 03:54:06.0","2024002503","","","","","","","","","","","","","","12"
"202400000476","","1","지진정보","202404300239","20240430015446","41.3","129.14","2.5","북한 함경북도 길주 북북서쪽 41km 지역","","자연지진으로 분석됨","","Y","","","2024-04-30 02:40:07.0","2024002359","","","","","","","","","","","","","","16"
"202400000472","","3","국외지진","202404290301","20240429024021","24.15","121.66","5","대만 화롄현 북북동쪽 21km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-29 03:03:06.0","2024002346","","","","","","","","","","","","","","36"
"202400000468","","3","국외지진","202404281306","20240428124300","38.27","122.96","4.4","중국 랴오닝성 다롄시 동남동쪽 137km 해역","","국내 일부지역에서 지진동을 느낄수 있음. 위 자료는 중국지진청(CEA) 분석결과임.","","Y","","","2024-04-28 13:08:06.0","2024002338","","","","","","","","","","","","","","30"
"202400000467","","1","지진정보","202404281037","20240428103343","35.61","128.28","2.2","경남 합천군 동북동쪽 11km 지역","","지진 발생 인근 지역은 지진동을 느낄 수 있음. 안전에 유의하기 바람.","","Y","","","2024-04-28 10:38:06.0","2024002330","","","","","","","","","","","","","","14"
"202400000464","","3","국외지진","202404280155","20240428012951","-8.11","107.27","6.1","인도네시아 반자르 남쪽 102km 해역 ","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-04-28 01:57:06.0","2024002327","","","","","","","","","","","","","","68"
"202400000461","","3","국외지진","202404271743","20240427173600","27.9","140","6.9","일본 시즈오카현 하마마쓰시 남남동쪽 787km 해역","","국내영향없음. 위 자료는 일본기상청(JMA) 분석결과임.","","Y","","","2024-04-27 17:45:06.0","2024002319","","","","","","","","","","","","","","540"
"202400000459","","3","국외지진","202404270752","20240427072337","-37.04","78.18","6","인도양 중앙해령","","국내영향없음. 위 자료는 미지질조사소(USGS) 분석결과임.","","Y","","","2024-04-27 07:54:06.0","2024002305","","","","","","","","","","","","","","11"
"202400000458","","3","국외지진","202404270427","20240427041328","24.21","121.66","5","대만 화롄현 북북동쪽 27km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-27 04:29:06.0","2024002303","","","","","","","","","","","","","","22"
"202400000457","","3","국외지진","202404270402","20240427034929","24.25","121.69","5.8","대만 화롄현 북북동쪽 32km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-27 04:04:06.0","2024002302","","","","","","","","","","","","","","19"
"202400000456","","3","국외지진","202404270332","20240427032124","24.19","121.68","6.1","대만 화롄현 북북동쪽 25km 해역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-27 03:34:06.0","2024002300","","","","","","","","","","","","","","25"
"202400000448","","3","국외지진","202404242046","20240424204000","36.5","140.6","5","일본 이바라키현 미토시 북동쪽 19km 지역","","국내영향없음. 위 자료는 일본기상청(JMA) 분석결과임.","","Y","","","2024-04-24 20:47:06.0","2024002248","","","","","","","","","","","","","","60"
"202400000443","","3","국외지진","202404231131","20240423112100","23.85","121.55","5.4","대만 화롄현 남남서쪽 15km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-23 11:33:06.0","2024002214","","","","","","","","","","","","","","9"
"202400000442","","3","국외지진","202404231057","20240423104546","23.81","121.57","5.4","대만 화롄현 남남서쪽 18km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-23 10:59:06.0","2024002210","","","","","","","","","","","","","","9"
"202400000440","","3","국외지진","202404230623","20240423060421","23.71","121.51","5.5","대만 화롄현 남남서쪽 31km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-23 06:24:06.0","2024002207","","","","","","","","","","","","","","8"
"202400000439","","3","국외지진","202404230350","20240423033249","23.85","121.54","6.3","대만 화롄현 남남서쪽 15km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-23 03:52:06.0","2024002205","","","","","","","","","","","","","","6"
"202400000438","","3","국외지진","202404230334","20240423032651","23.72","121.66","6","대만 화롄현 남쪽 29km 해역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-23 03:36:06.0","2024002202","","","","","","","","","","","","","","10"
"202400000437","","3","국외지진","202404222320","20240422231124","23.77","121.52","5.9","대만 화롄현 남남서쪽 24km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-22 23:22:06.0","2024002201","","","","","","","","","","","","","","9"
"202400000436","","3","국외지진","202404222226","20240422221339","23.71","121.53","5.3","대만 화롄현 남남서쪽 30km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-22 22:28:06.0","2024002199","","","","","","","","","","","","","","10"
"202400000434","","3","국외지진","202404222008","20240422195032","23.75","121.51","5.7","대만 화롄현 남남서쪽 27km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-22 20:09:06.0","2024002197","","","","","","","","","","","","","","10"
"202400000433","","3","국외지진","202404221958","20240422194622","23.77","121.53","5.4","대만 화롄현 남남서쪽 24km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-22 20:00:06.0","2024002196","","","","","","","","","","","","","","3"
"202400000432","","1","지진정보","202404221851","20240422184751","33.31","127.1","2","제주 서귀포시 동쪽 51km 해역","","지진피해 없을 것으로 예상됨","","Y","","","2024-04-22 18:53:06.0","2024002193","","","","","","","","","","","","","","20"
"202400000430","","3","국외지진","202404221816","20240422180839","23.76","121.55","5.5","대만 화롄현 남남서쪽 24km 지역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-22 18:17:06.0","2024002192","","","","","","","","","","","","","","10"
"202400000429","","1","지진정보","202404220750","20240422074719","36","128.35","2.6","경북 칠곡군 서쪽 5km 지역","","지진 발생 인근 지역은 지진동을 느낄 수 있음. 안전에 유의하기 바람.","","Y","","","2024-04-22 07:51:06.0","2024002177","","","","","","","","","","","","","","6"
"202400000427","","3","국외지진","202404220201","20240422013552","24.2","121.67","5.3","대만 화롄현 북북동쪽 26km 해역","","국내영향없음. 위 자료는 대만기상청(CWA) 분석결과임.","","Y","","","2024-04-22 02:03:06.0","2024002176","","","","","","","","","","","","","","23"
