line,name,city_and_gu,dong
2호선,까치산,서울특별시 강서구,화곡동
2호선,문래,서울특별시 영등포구,문래동3가
2호선,영등포구청,서울특별시 영등포구,당산동3가
2호선,당산,서울특별시 영등포구,당산동
2호선,합정,서울특별시 마포구,서교동
2호선,홍대입구,서울특별시 마포구,동교동
2호선,신촌,서울특별시 마포구,노고산동
2호선,이대,서울특별시 마포구,염리동
2호선,아현,서울특별시 마포구,아현동
2호선,충정로,서울특별시 서대문구,충정로3가
2호선,용답,서울특별시 성동구,용답동
2호선,신답,서울특별시 성동구,용답동
2호선,신설동,서울특별시 동대문구,신설동
2호선,도림천,서울특별시 구로구,신도림동
2호선,양천구청,서울특별시 양천구,신정동
2호선,신정네거리,서울특별시 양천구,신정동
2호선,용두,서울특별시 동대문구,용두동
3호선,지축,경기도 고양시 덕양구,지축동
3호선,구파발,서울특별시 은평구,진관동
3호선,연신내,서울특별시 은평구,갈현동
3호선,불광,서울특별시 은평구,대조동
3호선,녹번,서울특별시 은평구,녹번동
3호선,홍제,서울특별시 서대문구,홍제동
3호선,무악재,서울특별시 서대문구,홍제동
3호선,독립문,서울특별시 서대문구,현저동
3호선,경복궁,서울특별시 종로구,적선동
3호선,안국,서울특별시 종로구,안국동
3호선,종로3가,서울특별시 종로구,묘동
3호선,을지로3가,서울특별시 중구,을지로3가
3호선,충무로,서울특별시 중구,필동2가
3호선,동대입구,서울특별시 중구,장충동2가
3호선,약수,서울특별시 중구,신당동
3호선,금호,서울특별시 성동구,금호동4가
3호선,옥수,서울특별시 성동구,옥수동
3호선,압구정,서울특별시 강남구,신사동
3호선,신사,서울특별시 강남구,신사동
3호선,잠원,서울특별시 서초구,잠원동
3호선,고속터미널,서울특별시 서초구,반포동
3호선,교대,서울특별시 서초구,서초동
3호선,남부터미널,서울특별시 서초구,서초동
3호선,양재,서울특별시 서초구,서초동
3호선,매봉,서울특별시 강남구,도곡동
3호선,도곡,서울특별시 강남구,도곡동
3호선,대치,서울특별시 강남구,대치동
3호선,학여울,서울특별시 강남구,대치동
3호선,대청,서울특별시 강남구,일원동
3호선,일원,서울특별시 강남구,일원동
3호선,수서,서울특별시 강남구,수서동
3호선,가락시장,서울특별시 송파구,가락동
3호선,경찰병원,서울특별시 송파구,가락동
3호선,오금,서울특별시 송파구,오금동
4호선,당고개,서울특별시 노원구,상계동
4호선,상계,서울특별시 노원구,상계동
4호선,노원,서울특별시 노원구,상계동
4호선,창동,서울특별시 도봉구,창동
4호선,쌍문,서울특별시 도봉구,창동
4호선,수유,서울특별시 강북구,수유동
4호선,미아,서울특별시 강북구,미아동
4호선,미아사거리,서울특별시 강북구,미아동
4호선,길음,서울특별시 성북구,길음동
4호선,성신여대입구,서울특별시 성북구,동선동4가
4호선,한성대입구,서울특별시 성북구,삼선동1가
4호선,혜화,서울특별시 종로구,명륜4가
4호선,동대문,서울특별시 종로구,종로6가
4호선,동대문역사문화공원,서울특별시 중구,광희동2가
4호선,충무로,서울특별시 중구,필동2가
4호선,명동,서울특별시 중구,충무로2가
4호선,회현,서울특별시 중구,남창동
4호선,서울역,서울특별시 용산구,동자동
4호선,숙대입구,서울특별시 용산구,갈월동
4호선,삼각지,서울특별시 용산구,한강로1가
4호선,신용산,서울특별시 용산구,한강로2가
4호선,이촌,서울특별시 용산구,용산동5가
4호선,동작,서울특별시 동작구,동작동
4호선,총신대입구,서울특별시 동작구,사당동
4호선,사당,서울특별시 동작구,사당동
4호선,남태령,서울특별시 서초구,방배동
5호선,방화,서울특별시 강서구,방화동
5호선,개화산,서울특별시 강서구,방화동
5호선,김포공항,서울특별시 강서구,방화동
5호선,송정,서울특별시 강서구,공항동
5호선,마곡,서울특별시 강서구,마곡동
5호선,발산,서울특별시 강서구,마곡동
5호선,우장산,서울특별시 강서구,화곡동
5호선,화곡,서울특별시 강서구,화곡동
5호선,까치산,서울특별시 강서구,화곡동
5호선,신정,서울특별시 양천구,신정동
5호선,목동,서울특별시 양천구,목동
5호선,오목교,서울특별시 양천구,목동
5호선,양평,서울특별시 영등포구,양평동2가
5호선,영등포구청,서울특별시 영등포구,당산동3가
5호선,영등포시장,서울특별시 영등포구,영등포동5가
5호선,신길,서울특별시 영등포구,영등포동1가
5호선,여의도,서울특별시 영등포구,여의도동
5호선,여의나루,서울특별시 영등포구,여의도동
5호선,마포,서울특별시 마포구,도화동
5호선,공덕,서울특별시 마포구,공덕동
5호선,애오개,서울특별시 마포구,아현동
5호선,충정로,서울특별시 서대문구,충정로3가
5호선,서대문,서울특별시 종로구,평동
5호선,광화문,서울특별시 종로구,세종로
5호선,종로3가,서울특별시 종로구,돈의동
5호선,을지로4가,서울특별시 중구,주교동
5호선,동대문역사문화공원,서울특별시 중구,광희동1가
5호선,청구,서울특별시 중구,신당동
5호선,신금호,서울특별시 성동구,금호동2가
5호선,행당,서울특별시 성동구,행당동
5호선,왕십리,서울특별시 성동구,행당동
5호선,마장,서울특별시 성동구,마장동
5호선,답십리,서울특별시 성동구,용답동
5호선,장한평,서울특별시 동대문구,장안동
5호선,군자,서울특별시 광진구,능동
5호선,아차산,서울특별시 광진구,능동
5호선,광나루,서울특별시 광진구,광장동
5호선,천호,서울특별시 강동구,천호동
5호선,강동,서울특별시 강동구,천호동
5호선,길동,서울특별시 강동구,길동
5호선,굽은다리,서울특별시 강동구,명일동
5호선,명일,서울특별시 강동구,명일동
5호선,고덕,서울특별시 강동구,고덕동
5호선,상일동,서울특별시 강동구,상일동
5호선,둔촌동,서울특별시 강동구,둔촌동
5호선,올림픽공원,서울특별시 송파구,방이동
5호선,방이,서울특별시 송파구,방이동
5호선,오금,서울특별시 송파구,오금동
5호선,개롱,서울특별시 송파구,가락동
5호선,거여,서울특별시 송파구,거여동
5호선,마천,서울특별시 송파구,마천동
5호선,강일,서울특별시 강동구,상일동
5호선,미사,경기도 하남시 망월동 1122 미사역(5호선),
5호선,하남풍산,경기도 하남시 덕풍동 727-3 하남풍산역(5호선),
5호선,하남시청,경기도 하남시 덕풍동 405-1 하남시청(덕풍신장)역(5호선),
5호선,하남검단산역,경기도 하남시 창우동 526 하남검단산역(5호선),
6호선,응암,서울특별시 은평구,신사동
6호선,역촌,서울특별시 은평구,녹번동
6호선,불광,서울특별시 은평구,대조동
6호선,독바위,서울특별시 은평구,불광동
6호선,연신내,서울특별시 은평구,갈현동
6호선,구산,서울특별시 은평구,구산동
6호선,새절,서울특별시 은평구,신사동
6호선,증산,서울특별시 은평구,증산동
6호선,디지털미디어시티,서울특별시 은평구,증산동
6호선,월드컵경기장,서울특별시 마포구,성산동
6호선,마포구청,서울특별시 마포구,성산동
6호선,망원,서울특별시 마포구,망원동
6호선,합정,서울특별시 마포구,합정동
6호선,상수,서울특별시 마포구,상수동
6호선,광흥창,서울특별시 마포구,창전동
6호선,대흥,서울특별시 마포구,대흥동
6호선,공덕,서울특별시 마포구,공덕동
6호선,효창공원앞,서울특별시 용산구,효창동
6호선,삼각지,서울특별시 용산구,한강로1가
6호선,녹사평,서울특별시 용산구,용산동4가
6호선,이태원,서울특별시 용산구,이태원동
6호선,한강진,서울특별시 용산구,한남동
6호선,버티고개,서울특별시 중구,신당동
6호선,약수,서울특별시 중구,신당동
6호선,청구,서울특별시 중구,신당동
6호선,신당,서울특별시 중구,흥인동
6호선,동묘앞,서울특별시 종로구,숭인동
6호선,창신,서울특별시 종로구,창신동
6호선,보문,서울특별시 성북구,보문동1가
6호선,안암,서울특별시 성북구,안암동5가
6호선,고려대,서울특별시 성북구,종암동
6호선,월곡,서울특별시 성북구,하월곡동
6호선,상월곡,서울특별시 성북구,상월곡동
6호선,돌곶이,서울특별시 성북구,석관동
6호선,석계,서울특별시 노원구,월계동
6호선,태릉입구,서울특별시 노원구,공릉동
6호선,화랑대,서울특별시 노원구,공릉동
6호선,봉화산,서울특별시 중랑구,신내동
6호선,신내,서울특별시 중랑구,신내동
7호선,장암,경기도 의정부시 장암동 160-8 장암역(7호선),
7호선,도봉산,서울특별시 도봉구,도봉동
7호선,수락산,서울특별시 노원구,상계동
7호선,마들,서울특별시 노원구,상계동
7호선,노원,서울특별시 노원구,상계동
7호선,중계,서울특별시 노원구,중계동
7호선,하계,서울특별시 노원구,하계동
7호선,공릉,서울특별시 노원구,공릉동
7호선,태릉입구,서울특별시 노원구,공릉동
7호선,먹골,서울특별시 중랑구,묵동
7호선,중화,서울특별시 중랑구,중화동
7호선,상봉,서울특별시 중랑구,상봉동
7호선,면목,서울특별시 중랑구,면목동
7호선,사가정,서울특별시 중랑구,면목동
7호선,용마산,서울특별시 중랑구,면목동
7호선,중곡,서울특별시 광진구,중곡동
7호선,군자,서울특별시 광진구,능동
7호선,어린이대공원,서울특별시 광진구,화양동
7호선,건대입구,서울특별시 광진구,화양동
7호선,자양,서울특별시 광진구,자양동
7호선,청담,서울특별시 강남구,청담동
7호선,강남구청,서울특별시 강남구,삼성동
7호선,학동,서울특별시 강남구,논현동
7호선,논현,서울특별시 강남구,논현동
7호선,반포,서울특별시 서초구,잠원동
7호선,고속터미널,서울특별시 서초구,반포동
7호선,내방,서울특별시 서초구,방배동
7호선,총신대입구,서울특별시 동작구,사당동
7호선,남성,서울특별시 동작구,사당동
7호선,숭실대입구,서울특별시 동작구,상도동
7호선,상도,서울특별시 동작구,상도1동
7호선,장승배기,서울특별시 동작구,상도동
7호선,신대방삼거리,서울특별시 동작구,대방동
7호선,보라매,서울특별시 동작구,대방동
7호선,신풍,서울특별시 영등포구,신길동
7호선,대림,서울특별시 영등포구,대림동
7호선,남구로,서울특별시 구로구,구로동
7호선,가산디지털단지,서울특별시 금천구,가산동
7호선,철산,경기도 광명시 철산동 526 철산역(7호선),
7호선,광명사거리,경기도 광명시 광명동 158-211 광명사거리역(7호선),
7호선,천왕,서울특별시 구로구,천왕동
7호선,온수,서울특별시 구로구,온수동
8호선,암사역사공원,서울특별시 강동구,암사동
8호선,암사,서울특별시 강동구,암사동
8호선,천호,서울특별시 강동구,천호동
8호선,강동구청,서울특별시 강동구,성내동
8호선,몽촌토성,서울특별시 송파구,신천동
8호선,잠실,서울특별시 송파구,신천동
8호선,석촌,서울특별시 송파구,석촌동
8호선,송파,서울특별시 송파구,가락동
8호선,가락시장,서울특별시 송파구,가락동
8호선,문정,서울특별시 송파구,문정동
8호선,장지,서울특별시 송파구,장지동
8호선,복정,서울특별시 송파구,장지동
8호선,산성,경기도 성남시 수정구,신흥동
8호선,남한산성입구,경기도 성남시 수정구,단대동
8호선,단대오거리,경기도 성남시 수정구,신흥동
8호선,신흥,경기도 성남시 수정구,신흥동
8호선,수진,경기도 성남시 수정구,수진동
8호선,모란,경기도 성남시 수정구,수진동
8호선,남위례,경기도 성남시 수정구,복정동
